Time_s,Temperature_C,SSR_Control_Voltage_V
53.5000,166.3040,5.0000
54.0000,167.3658,5.0000
54.5000,168.6593,5.0000
55.0000,169.4344,5.0000
55.5000,170.6389,5.0000
56.0000,171.7993,5.0000
56.5000,172.7890,5.0000
57.0000,173.6044,5.0000
57.5000,174.7204,5.0000
58.0000,175.7117,5.0000
58.5000,176.8517,5.0000
59.0000,177.9451,5.0000
59.5000,179.3502,5.0000
60.0000,180.3818,5.0000
60.5000,181.2525,5.0000
61.0000,182.3605,5.0000
61.5000,183.4724,5.0000
62.0000,184.8078,5.0000
62.5000,186.0332,5.0000
63.0000,187.1583,5.0000
63.5000,188.5004,5.0000
64.0000,189.3068,5.0000
64.5000,190.2200,5.0000
65.0000,191.0723,5.0000
65.5000,192.0287,5.0000
66.0000,192.7840,5.0000
66.5000,193.9388,5.0000
67.0000,194.9177,5.0000
67.5000,195.6430,5.0000
68.0000,196.4567,5.0000
68.5000,197.5330,5.0000
69.0000,198.7101,5.0000
69.5000,200.1144,5.0000
70.0000,201.6968,5.0000
70.5000,202.7731,5.0000
71.0000,203.5646,5.0000
71.5000,204.1244,5.0000
72.0000,205.1621,5.0000
72.5000,205.9797,5.0000
73.0000,206.8736,5.0000
73.5000,207.7247,5.0000
74.0000,208.6669,5.0000
74.5000,209.8467,5.0000
75.0000,210.8403,5.0000
75.5000,211.7669,5.0000
76.0000,212.5145,5.0000
76.5000,213.1314,5.0000
77.0000,213.9836,5.0000
77.5000,214.9191,5.0000
78.0000,216.2153,5.0000
78.5000,217.1790,5.0000
79.0000,218.3095,5.0000
79.5000,219.1392,5.0000
80.0000,219.8286,5.0000
80.5000,220.5593,5.0000
81.0000,221.3352,5.0000
81.5000,222.6788,5.0000
82.0000,223.4273,5.0000
82.5000,224.5049,5.0000
83.0000,225.2301,5.0000
83.5000,226.3193,5.0000
84.0000,227.2951,5.0000
84.5000,228.1588,5.0000
85.0000,229.0423,5.0000
85.5000,229.7997,5.0000
86.0000,230.7743,5.0000
86.5000,231.5649,5.0000
87.0000,232.1984,5.0000
87.5000,232.8190,5.0000
88.0000,233.7273,5.0000
88.5000,234.9134,5.0000
89.0000,235.8111,5.0000
89.5000,236.6496,5.0000
90.0000,237.5658,5.0000
90.5000,238.6825,5.0000
91.0000,239.5776,5.0000
91.5000,240.3432,5.0000
92.0000,241.4093,5.0000
92.5000,242.3358,5.0000
93.0000,243.4801,5.0000
93.5000,244.3495,5.0000
94.0000,244.9341,5.0000
94.5000,245.4876,5.0000
95.0000,246.6428,5.0000
95.5000,247.8082,5.0000
96.0000,248.5884,5.0000
96.5000,249.3249,5.0000
97.0000,250.4275,5.0000
97.5000,251.0121,5.0000
98.0000,251.6370,5.0000
98.5000,252.5670,5.0000
99.0000,253.2859,5.0000
99.5000,254.0799,5.0000
100.0000,254.8393,5.0000
100.5000,255.6958,5.0000
101.0000,256.7631,5.0000
101.5000,257.5629,5.0000
102.0000,258.4703,5.0000
102.5000,258.8354,5.0000
103.0000,259.5994,5.0000
103.5000,260.2015,5.0000
104.0000,260.7262,5.0000
104.5000,261.3170,5.0000
105.0000,262.0143,5.0000
105.5000,262.9590,5.0000
106.0000,263.4516,5.0000
106.5000,264.2136,5.0000
107.0000,264.8698,5.0000
107.5000,265.5548,5.0000
108.0000,266.5032,5.0000
108.5000,267.3551,5.0000
109.0000,268.3635,5.0000
109.5000,269.0696,5.0000
110.0000,269.6648,5.0000
110.5000,270.3521,5.0000
111.0000,271.1300,5.0000
111.5000,271.8917,5.0000
112.0000,272.3984,5.0000
112.5000,273.1380,5.0000
113.0000,273.9024,5.0000
113.5000,275.1216,5.0000
114.0000,276.2080,5.0000
114.5000,276.7443,5.0000
115.0000,277.3916,5.0000
115.5000,277.8013,5.0000
116.0000,278.3839,5.0000
116.5000,279.1456,5.0000
117.0000,280.0823,5.0000
117.5000,280.6285,5.0000
118.0000,281.1876,5.0000
118.5000,281.4458,5.0000
119.0000,282.1001,5.0000
119.5000,282.5718,5.0000
120.0000,283.1483,5.0000
120.5000,283.6532,5.0000
121.0000,284.3126,5.0000
121.5000,284.6367,5.0000
122.0000,285.0178,5.0000
122.5000,286.1167,5.0000
123.0000,286.5280,5.0000
123.5000,286.9758,5.0000
124.0000,288.0087,5.0000
124.5000,289.2512,5.0000
125.0000,289.6736,5.0000
125.5000,290.2550,5.0000
126.0000,290.9762,5.0000
126.5000,291.9721,5.0000
127.0000,292.4209,5.0000
127.5000,293.0164,5.0000
128.0000,293.8141,5.0000
128.5000,294.5403,5.0000
129.0000,295.1014,5.0000
129.5000,295.7089,5.0000
130.0000,296.0658,5.0000
130.5000,296.6487,5.0000
131.0000,297.2237,5.0000
131.5000,297.8962,5.0000
132.0000,298.4086,5.0000
132.5000,299.1244,5.0000
133.0000,299.9457,5.0000
133.5000,300.5924,5.0000
134.0000,301.2758,5.0000
134.5000,301.8969,5.0000
135.0000,302.5050,5.0000
135.5000,302.9665,5.0000
136.0000,303.6337,5.0000
136.5000,304.2157,5.0000
137.0000,305.2335,5.0000
137.5000,306.1434,5.0000
138.0000,306.8124,5.0000
138.5000,307.2489,5.0000
139.0000,307.6139,5.0000
139.5000,308.4383,5.0000
140.0000,309.0738,5.0000
140.5000,309.7503,5.0000
141.0000,309.9792,5.0000
141.5000,310.7417,5.0000
142.0000,311.4067,5.0000
142.5000,311.7561,5.0000
143.0000,312.2320,5.0000
143.5000,312.8531,5.0000
144.0000,313.4295,5.0000
144.5000,313.9348,5.0000
145.0000,314.4759,5.0000
145.5000,314.9852,5.0000
146.0000,315.5735,5.0000
146.5000,316.4232,5.0000
147.0000,316.4621,5.0000
147.5000,316.9668,5.0000
148.0000,317.5523,5.0000
148.5000,318.1593,5.0000
149.0000,318.6305,5.0000
149.5000,318.8229,5.0000
150.0000,319.4315,5.0000
150.5000,320.3176,5.0000
151.0000,320.5481,5.0000
151.5000,321.2572,5.0000
152.0000,321.7251,5.0000
152.5000,322.2447,5.0000
153.0000,322.5639,5.0000
153.5000,323.0256,5.0000
154.0000,323.8124,5.0000
154.5000,324.4528,5.0000
155.0000,325.3206,5.0000
155.5000,326.0741,5.0000
156.0000,326.6770,5.0000
156.5000,327.5385,5.0000
157.0000,328.1358,5.0000
157.5000,328.8086,5.0000
158.0000,329.2538,5.0000
158.5000,329.7700,5.0000
159.0000,330.1314,5.0000
159.5000,330.8288,5.0000
160.0000,331.0900,5.0000
160.5000,331.7423,5.0000
161.0000,332.1974,5.0000
161.5000,332.9232,5.0000
162.0000,333.5622,5.0000
162.5000,334.4126,5.0000
163.0000,335.0418,5.0000
163.5000,335.2080,5.0000
164.0000,335.6745,5.0000
164.5000,335.9183,5.0000
165.0000,336.2919,5.0000
165.5000,337.0699,5.0000
166.0000,337.6703,5.0000
166.5000,338.0010,5.0000
167.0000,338.2675,5.0000
167.5000,338.7422,5.0000
168.0000,338.9653,5.0000
168.5000,339.2966,5.0000
169.0000,339.8232,5.0000
169.5000,340.5165,5.0000
170.0000,341.0978,5.0000
170.5000,341.0969,5.0000
171.0000,341.6151,5.0000
171.5000,342.0848,5.0000
172.0000,342.6211,5.0000
172.5000,343.3958,5.0000
173.0000,343.4316,5.0000
173.5000,343.7617,5.0000
174.0000,344.3270,5.0000
174.5000,344.4556,5.0000
175.0000,345.1952,5.0000
175.5000,345.7104,5.0000
176.0000,346.3193,5.0000
176.5000,346.6423,5.0000
177.0000,347.2411,5.0000
177.5000,347.8884,5.0000
178.0000,348.3662,5.0000
178.5000,348.8425,5.0000
179.0000,349.3241,5.0000
179.5000,349.5771,5.0000
180.0000,349.9723,5.0000
180.5000,350.3649,5.0000
181.0000,350.8633,5.0000
181.5000,351.4830,5.0000
182.0000,351.6887,5.0000
182.5000,352.0803,5.0000
183.0000,352.7916,5.0000
183.5000,353.0553,5.0000
184.0000,353.3021,5.0000
184.5000,353.7530,5.0000
185.0000,354.3305,5.0000
185.5000,354.7392,5.0000
186.0000,355.4098,5.0000
186.5000,355.9835,5.0000
187.0000,356.5519,5.0000
187.5000,357.0606,5.0000
188.0000,357.9220,5.0000
188.5000,358.2736,5.0000
189.0000,358.2642,5.0000
189.5000,358.9763,5.0000
190.0000,359.2733,5.0000
190.5000,359.6823,5.0000
191.0000,360.3301,5.0000
191.5000,360.3930,5.0000
192.0000,360.5257,5.0000
192.5000,360.5881,5.0000
193.0000,360.8116,5.0000
193.5000,361.2810,5.0000
194.0000,361.7655,5.0000
194.5000,362.1986,5.0000
195.0000,362.2922,5.0000
195.5000,362.2060,5.0000
196.0000,362.5930,5.0000
196.5000,362.8733,5.0000
197.0000,363.3387,5.0000
197.5000,363.8509,5.0000
198.0000,364.2483,5.0000
198.5000,364.7687,5.0000
199.0000,365.1808,5.0000
199.5000,365.6515,5.0000
200.0000,365.8734,5.0000
200.5000,366.1995,5.0000
201.0000,366.5996,5.0000
201.5000,367.1230,5.0000
202.0000,367.4015,5.0000
202.5000,367.8618,5.0000
203.0000,368.1630,5.0000
203.5000,368.4928,5.0000
204.0000,369.0106,5.0000
204.5000,368.9620,5.0000
205.0000,369.0528,5.0000
205.5000,369.1062,5.0000
206.0000,368.9890,5.0000
206.5000,369.2034,5.0000
207.0000,369.7025,5.0000
207.5000,369.9929,5.0000
208.0000,370.3786,5.0000
208.5000,370.9411,5.0000
209.0000,371.5492,5.0000
209.5000,371.8756,5.0000
210.0000,372.4852,5.0000
210.5000,372.8402,5.0000
211.0000,373.0080,5.0000
211.5000,373.2237,5.0000
212.0000,373.2614,5.0000
212.5000,373.4173,5.0000
213.0000,373.6787,5.0000
213.5000,374.1715,5.0000
214.0000,374.8457,5.0000
214.5000,374.8968,5.0000
215.0000,375.3027,5.0000
215.5000,375.4203,5.0000
216.0000,375.8406,5.0000
216.5000,376.1381,5.0000
217.0000,376.0944,5.0000
217.5000,376.6028,5.0000
218.0000,376.8026,5.0000
218.5000,377.0158,5.0000
219.0000,377.1210,5.0000
219.5000,377.3089,5.0000
220.0000,377.7125,5.0000
220.5000,377.9912,5.0000
221.0000,378.3723,5.0000
221.5000,378.7586,5.0000
222.0000,379.3352,5.0000
222.5000,379.5769,5.0000
223.0000,379.5909,5.0000
223.5000,380.1136,5.0000
224.0000,380.3546,5.0000
224.5000,380.8838,5.0000
225.0000,381.2648,5.0000
225.5000,381.5414,5.0000
226.0000,381.9129,5.0000
226.5000,382.6034,5.0000
227.0000,383.3165,5.0000
227.5000,383.6253,5.0000
228.0000,383.9511,5.0000
228.5000,384.4588,5.0000
229.0000,384.5803,5.0000
229.5000,384.9369,5.0000
230.0000,385.2205,5.0000
230.5000,385.5709,5.0000
231.0000,385.6905,5.0000
231.5000,385.6584,5.0000
232.0000,385.5297,5.0000
232.5000,385.5926,5.0000
233.0000,385.7871,5.0000
233.5000,386.0139,5.0000
234.0000,386.6859,5.0000
234.5000,387.1891,5.0000
235.0000,387.2767,5.0000
235.5000,387.6259,5.0000
236.0000,387.8229,5.0000
236.5000,388.0436,5.0000
237.0000,388.3574,5.0000
237.5000,388.7568,5.0000
238.0000,388.9630,5.0000
238.5000,389.4490,5.0000
239.0000,389.4919,5.0000
239.5000,389.7644,5.0000
240.0000,390.5541,5.0000
240.5000,390.8658,5.0000
241.0000,391.4183,5.0000
241.5000,391.7004,5.0000
242.0000,392.0792,5.0000
242.5000,392.3291,5.0000
243.0000,392.5553,5.0000
243.5000,392.6588,5.0000
244.0000,393.0039,5.0000
244.5000,393.0912,5.0000
245.0000,393.4817,5.0000
245.5000,393.9546,5.0000
246.0000,394.2819,5.0000
246.5000,394.4774,5.0000
247.0000,394.8202,5.0000
247.5000,395.0092,5.0000
248.0000,395.4463,5.0000
248.5000,395.3283,5.0000
249.0000,395.5099,5.0000
249.5000,395.3598,5.0000
250.0000,395.3094,5.0000
250.5000,395.8310,5.0000
251.0000,396.2568,5.0000
251.5000,396.3581,5.0000
252.0000,396.3023,5.0000
252.5000,395.9544,5.0000
253.0000,396.0921,5.0000
253.5000,396.8219,5.0000
254.0000,397.1519,5.0000
254.5000,397.2817,5.0000
255.0000,397.6160,5.0000
255.5000,397.5437,5.0000
256.0000,397.7245,5.0000
256.5000,397.9839,5.0000
257.0000,398.2052,5.0000
257.5000,398.6010,5.0000
258.0000,398.9061,5.0000
258.5000,399.2747,5.0000
259.0000,399.3706,5.0000
259.5000,399.7834,5.0000
260.0000,400.3408,5.0000
260.5000,400.3762,5.0000
261.0000,400.4280,5.0000
261.5000,400.9243,5.0000
262.0000,401.1132,5.0000
262.5000,401.6205,5.0000
263.0000,401.7565,5.0000
263.5000,402.2715,5.0000
264.0000,402.5198,5.0000
264.5000,402.7926,5.0000
265.0000,403.3255,5.0000
265.5000,403.4712,5.0000
266.0000,403.5003,5.0000
266.5000,403.6279,5.0000
267.0000,403.9352,5.0000
267.5000,403.8377,5.0000
268.0000,404.1812,5.0000
268.5000,404.2881,5.0000
269.0000,404.7320,5.0000
269.5000,404.4657,5.0000
270.0000,404.5220,5.0000
270.5000,404.3981,5.0000
271.0000,404.4467,5.0000
271.5000,404.7099,5.0000
272.0000,404.8867,5.0000
272.5000,405.0480,5.0000
273.0000,405.2275,0.0000
273.5000,405.4788,0.0000
274.0000,405.4868,0.0000
274.5000,405.8379,0.0000
275.0000,404.9682,0.0000
275.5000,404.0453,0.0000
276.0000,403.1591,0.0000
276.5000,402.2232,0.0000
277.0000,401.6375,0.0000
277.5000,400.6290,0.0000
278.0000,399.5791,0.0000
278.5000,398.4426,0.0000
279.0000,397.2534,0.0000
279.5000,396.0249,0.0000
280.0000,394.8708,0.0000
280.5000,393.8833,5.0000
281.0000,392.9794,5.0000
281.5000,392.0213,5.0000
282.0000,390.9023,5.0000
282.5000,391.3481,5.0000
283.0000,391.7600,5.0000
283.5000,391.9906,5.0000
284.0000,392.1216,5.0000
284.5000,392.4923,5.0000
285.0000,392.7896,5.0000
285.5000,392.7584,5.0000
286.0000,393.0035,5.0000
286.5000,393.3136,5.0000
287.0000,393.3901,5.0000
287.5000,393.6843,5.0000
288.0000,393.6484,5.0000
288.5000,394.1708,5.0000
289.0000,394.6736,5.0000
289.5000,394.8743,5.0000
290.0000,395.1975,5.0000
290.5000,394.9648,5.0000
291.0000,394.9836,5.0000
291.5000,395.1749,5.0000
292.0000,395.2098,5.0000
292.5000,395.6019,5.0000
293.0000,396.2490,5.0000
293.5000,396.2589,5.0000
294.0000,396.3366,5.0000
294.5000,396.6285,5.0000
295.0000,397.1945,5.0000
295.5000,397.1916,5.0000
296.0000,397.4830,5.0000
296.5000,398.0877,5.0000
297.0000,397.9954,5.0000
297.5000,397.9777,5.0000
298.0000,398.1315,5.0000
298.5000,398.2654,5.0000
299.0000,398.6653,5.0000
299.5000,398.9496,5.0000
300.0000,398.8294,5.0000
300.5000,399.1677,5.0000
301.0000,399.2862,5.0000
301.5000,399.7746,5.0000
302.0000,399.8807,5.0000
302.5000,399.9846,5.0000
303.0000,400.3237,5.0000
303.5000,400.7058,5.0000
304.0000,401.0235,5.0000
304.5000,400.9132,5.0000
305.0000,401.2480,5.0000
305.5000,401.2671,5.0000
306.0000,401.5401,5.0000
306.5000,401.4802,5.0000
307.0000,401.7945,5.0000
307.5000,401.8571,5.0000
308.0000,401.8242,5.0000
308.5000,402.1907,5.0000
309.0000,402.4614,5.0000
309.5000,402.5599,5.0000
310.0000,403.0710,5.0000
310.5000,403.2019,5.0000
311.0000,403.4267,5.0000
311.5000,403.6981,5.0000
312.0000,403.7907,5.0000
312.5000,404.1011,5.0000
313.0000,404.2094,5.0000
313.5000,404.3417,5.0000
314.0000,404.8283,5.0000
314.5000,404.8324,5.0000
315.0000,404.5620,5.0000
315.5000,405.0974,5.0000
316.0000,405.8184,0.0000
316.5000,405.9458,0.0000
317.0000,405.7663,0.0000
317.5000,405.9128,0.0000
318.0000,404.8532,0.0000
318.5000,403.8156,0.0000
319.0000,402.5960,0.0000
319.5000,401.7182,0.0000
320.0000,400.8318,0.0000
320.5000,399.5439,0.0000
321.0000,398.6981,0.0000
321.5000,398.1252,0.0000
322.0000,397.1777,0.0000
322.5000,396.1308,0.0000
323.0000,395.1257,0.0000
323.5000,394.2748,0.0000
324.0000,392.9569,5.0000
324.5000,392.0214,5.0000
325.0000,390.9775,5.0000
325.5000,390.3840,5.0000
326.0000,390.6169,5.0000
326.5000,391.2173,5.0000
327.0000,391.2611,5.0000
327.5000,391.6429,5.0000
328.0000,391.9697,5.0000
328.5000,392.0576,5.0000
329.0000,392.3544,5.0000
329.5000,392.8571,5.0000
330.0000,393.0505,5.0000
330.5000,392.9696,5.0000
331.0000,393.2239,5.0000
331.5000,393.3003,5.0000
332.0000,393.4884,5.0000
332.5000,393.7279,5.0000
333.0000,393.6416,5.0000
333.5000,393.5737,5.0000
334.0000,393.9256,5.0000
334.5000,394.0752,5.0000
335.0000,393.8158,5.0000
335.5000,394.2273,5.0000
336.0000,394.5348,5.0000
336.5000,394.6438,5.0000
337.0000,394.6318,5.0000
337.5000,395.0504,5.0000
338.0000,395.3700,5.0000
338.5000,396.0951,5.0000
339.0000,396.4250,5.0000
339.5000,396.7470,5.0000
340.0000,396.9569,5.0000
340.5000,397.3628,5.0000
341.0000,397.7287,5.0000
341.5000,398.2185,5.0000
342.0000,398.3519,5.0000
342.5000,398.5019,5.0000
343.0000,398.6426,5.0000
343.5000,399.0368,5.0000
344.0000,399.5709,5.0000
344.5000,399.7116,5.0000
345.0000,399.8585,5.0000
345.5000,400.1526,5.0000
346.0000,400.3337,5.0000
346.5000,400.7536,5.0000
347.0000,400.5311,5.0000
347.5000,400.5945,5.0000
348.0000,400.6665,5.0000
348.5000,400.4306,5.0000
349.0000,400.4670,5.0000
349.5000,400.5129,5.0000
350.0000,400.7015,5.0000
350.5000,401.1522,5.0000
351.0000,401.3295,5.0000
351.5000,401.3490,5.0000
352.0000,401.5632,5.0000
352.5000,401.9978,5.0000
353.0000,402.0257,5.0000
353.5000,402.0665,5.0000
354.0000,402.4010,5.0000
354.5000,402.5783,5.0000
355.0000,402.9286,5.0000
355.5000,403.1454,5.0000
356.0000,403.5044,5.0000
356.5000,403.5147,5.0000
357.0000,403.7295,5.0000
357.5000,403.9038,5.0000
358.0000,403.8764,5.0000
358.5000,403.7795,5.0000
359.0000,404.1329,5.0000
359.5000,404.2776,5.0000
360.0000,404.2875,5.0000
360.5000,404.4825,5.0000
361.0000,404.9216,5.0000
361.5000,404.6773,5.0000
362.0000,404.5908,5.0000
362.5000,404.6193,5.0000
363.0000,405.1246,5.0000
363.5000,405.3921,0.0000
364.0000,405.7556,0.0000
364.5000,405.7362,0.0000
365.0000,405.7210,0.0000
365.5000,404.8087,0.0000
366.0000,403.8209,0.0000
366.5000,402.9337,0.0000
367.0000,401.9016,0.0000
367.5000,400.9654,0.0000
368.0000,400.0076,0.0000
368.5000,399.1763,0.0000
369.0000,398.3531,0.0000
369.5000,397.0466,0.0000
370.0000,395.6180,0.0000
370.5000,394.8431,0.0000
371.0000,394.1074,5.0000
371.5000,392.9319,5.0000
372.0000,391.5917,5.0000
372.5000,390.6468,5.0000
373.0000,391.0997,5.0000
373.5000,391.7242,5.0000
374.0000,392.0901,5.0000
374.5000,392.2769,5.0000
375.0000,392.3588,5.0000
375.5000,392.6212,5.0000
376.0000,392.8205,5.0000
376.5000,392.8759,5.0000
377.0000,393.5438,5.0000
377.5000,394.1564,5.0000
378.0000,394.6369,5.0000
378.5000,394.7041,5.0000
379.0000,395.1263,5.0000
379.5000,395.5037,5.0000
380.0000,395.8403,5.0000
380.5000,396.3370,5.0000
381.0000,396.7089,5.0000
381.5000,397.1003,5.0000
382.0000,397.4696,5.0000
382.5000,397.7783,5.0000
383.0000,397.6609,5.0000
383.5000,397.9174,5.0000
384.0000,398.0449,5.0000
384.5000,398.0272,5.0000
385.0000,398.6020,5.0000
385.5000,399.1839,5.0000
386.0000,399.6897,5.0000
386.5000,399.9727,5.0000
387.0000,400.4737,5.0000
387.5000,400.7050,5.0000
388.0000,400.9736,5.0000
388.5000,400.9820,5.0000
389.0000,401.2884,5.0000
389.5000,401.5262,5.0000
390.0000,401.4906,5.0000
390.5000,401.7054,5.0000
391.0000,401.9137,5.0000
391.5000,402.4966,5.0000
392.0000,402.8966,5.0000
392.5000,403.1185,5.0000
393.0000,403.3871,5.0000
393.5000,403.6136,5.0000
394.0000,403.7899,5.0000
394.5000,403.7896,5.0000
395.0000,403.9756,5.0000
395.5000,404.0419,5.0000
396.0000,404.0070,5.0000
396.5000,404.3246,5.0000
397.0000,404.6170,5.0000
397.5000,404.4727,5.0000
398.0000,404.6617,5.0000
398.5000,405.0737,5.0000
399.0000,405.4968,0.0000
399.5000,405.9116,0.0000
400.0000,406.1274,0.0000
400.5000,406.1656,0.0000
401.0000,404.9458,0.0000
401.5000,404.0149,0.0000
402.0000,403.0933,0.0000
402.5000,402.3558,0.0000
403.0000,401.5828,0.0000
403.5000,400.5653,0.0000
404.0000,399.3281,0.0000
404.5000,398.2792,0.0000
405.0000,397.3404,0.0000
405.5000,396.3201,0.0000
406.0000,395.2274,0.0000
406.5000,394.3037,0.0000
407.0000,393.2310,5.0000
407.5000,392.1364,5.0000
408.0000,391.2325,5.0000
408.5000,390.1884,5.0000
409.0000,390.5057,5.0000
409.5000,390.8276,5.0000
410.0000,390.8658,5.0000
410.5000,391.0354,5.0000
411.0000,391.5882,5.0000
411.5000,391.6189,5.0000
412.0000,391.4586,5.0000
412.5000,391.3499,5.0000
413.0000,391.6197,5.0000
413.5000,391.8889,5.0000
414.0000,392.1273,5.0000
414.5000,392.6312,5.0000
415.0000,392.3558,5.0000
415.5000,392.6951,5.0000
416.0000,393.2663,5.0000
416.5000,393.2974,5.0000
417.0000,393.4780,5.0000
417.5000,393.5833,5.0000
418.0000,393.6598,5.0000
418.5000,393.8497,5.0000
419.0000,394.3897,5.0000
419.5000,395.0095,5.0000
420.0000,395.1923,5.0000
420.5000,395.8225,5.0000
421.0000,396.0765,5.0000
421.5000,396.6731,5.0000
422.0000,396.8980,5.0000
422.5000,397.1669,5.0000
423.0000,397.4817,5.0000
423.5000,398.3579,5.0000
424.0000,398.7652,5.0000
424.5000,398.8593,5.0000
425.0000,399.2883,5.0000
425.5000,399.4494,5.0000
426.0000,399.5843,5.0000
426.5000,399.9984,5.0000
427.0000,400.2354,5.0000
427.5000,400.5210,5.0000
428.0000,400.7526,5.0000
428.5000,401.0477,5.0000
429.0000,401.3595,5.0000
429.5000,401.1976,5.0000
430.0000,401.5571,5.0000
430.5000,401.5855,5.0000
431.0000,401.5217,5.0000
431.5000,401.7349,5.0000
432.0000,401.9758,5.0000
432.5000,402.0603,5.0000
433.0000,402.4493,5.0000
433.5000,402.4023,5.0000
434.0000,402.5424,5.0000
434.5000,402.6464,5.0000
435.0000,402.8577,5.0000
435.5000,403.1332,5.0000
436.0000,403.1504,5.0000
436.5000,403.5139,5.0000
437.0000,403.7437,5.0000
437.5000,403.5817,5.0000
438.0000,403.4070,5.0000
438.5000,403.6222,5.0000
439.0000,403.7948,5.0000
439.5000,403.9903,5.0000
440.0000,404.2002,5.0000
440.5000,404.4599,5.0000
441.0000,404.8630,5.0000
441.5000,404.8529,5.0000
442.0000,404.8306,5.0000
442.5000,404.8241,5.0000
443.0000,405.0941,5.0000
443.5000,405.5543,0.0000
444.0000,405.6774,0.0000
444.5000,405.3860,0.0000
445.0000,405.2553,0.0000
445.5000,404.0880,0.0000
446.0000,402.9788,0.0000
446.5000,401.9025,0.0000
447.0000,400.9183,0.0000
447.5000,399.8667,0.0000
448.0000,399.0901,0.0000
448.5000,397.9705,0.0000
449.0000,396.8165,0.0000
449.5000,395.9338,0.0000
450.0000,394.6505,0.0000
450.5000,393.7557,5.0000
451.0000,392.8058,5.0000
451.5000,391.8084,5.0000
452.0000,391.1608,5.0000
452.5000,391.3011,5.0000
453.0000,391.9774,5.0000
453.5000,392.1939,5.0000
454.0000,392.1993,5.0000
454.5000,392.4741,5.0000
455.0000,392.5185,5.0000
455.5000,392.6277,5.0000
456.0000,392.9663,5.0000
456.5000,393.3352,5.0000
457.0000,393.4672,5.0000
457.5000,393.9206,5.0000
458.0000,394.4062,5.0000
458.5000,394.9457,5.0000
459.0000,395.3018,5.0000
459.5000,395.8234,5.0000
460.0000,395.6940,5.0000
460.5000,395.8778,5.0000
461.0000,395.9510,5.0000
461.5000,396.2212,5.0000
462.0000,396.3522,5.0000
462.5000,396.5638,5.0000
463.0000,397.1842,5.0000
463.5000,397.3919,5.0000
464.0000,397.7154,5.0000
